".model","RMSE","MAE","MAPE","MASE","RMSSE"
"ETS_auto",10465.3909754695,8111.12643846923,1.47043050874994,0.277449144383709,0.283500578062336
"ETS_log",12100.1703305199,8810.82376047049,1.60830309885692,0.301382986962726,0.327785678661779
"ETS_MAM",15384.2136290841,12373.5419560171,2.22228274491362,0.423249305104011,0.416748257862785
"TSLM_seas",15527.9089464455,13546.8764245014,2.39721189328433,0.463384377196209,0.420640869771148
"TSLM_four",15591.9206725659,13678.0409731742,2.42034658074961,0.467870990995021,0.422374905451271
"ETS_AAdA",18293.0782679786,14666.3899823174,2.66283310058808,0.501678451527101,0.495547493224814
"SNaive",18578.9677996384,16189.3333333333,2.8859008311816,0.553772243047872,0.503292053144028
"ARIMA_man",21268.71309536,18401.9811104479,3.3085923292411,0.629458060207788,0.576155489203407
"ARIMA_auto",22025.7682032445,18772.6886351097,3.38031555924444,0.642138479667928,0.59666361558047
"Naive",31726.3964612539,25173.5833333333,4.57392585321074,0.861087446964206,0.859447273177184
"STL_ETS",31864.9498274359,26273.6807557291,4.74587273685378,0.898717373078393,0.863200593000317
"Drift",46001.0630908498,38172.9544025157,6.91256090633842,1.30574385911991,1.24613863049229
"Mean",144724.06573566,142626.940031153,24.930170690636,4.87869629180359,3.92048002714496
